team,name,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,PsAtt,PsOnHfScs,PsOpHfScs,Touches,DuelLs,SucflDuels,TcklMade%
Forge,Alexander Achinioti-Jönsson,22,0.0,0.0,0,0,0,0,0,7,3,2,10,0,1,-
Forge,Alexander Achinioti-Jönsson,10,0.0,0.0,0,0,0,0,0,5,2,0,7,0,1,-
Forge,Alexander Achinioti-Jönsson,11,0.0,0.0,0,0,0,0,0,3,3,0,5,1,0,0.0%
Edmonton,Bruno Zebie,83,0.0,0.0,0,0,0,0,0,58,32,19,82,5,9,77.8%
Edmonton,Bruno Zebie,71,0.0,0.0,0,0,0,0,0,57,30,24,66,2,2,50.0%
Edmonton,Bruno Zebie,90,0.03,0.05,0,0,0,0,0,36,15,12,65,1,8,100.0%
Edmonton,Bruno Zebie,90,0.0,0.0,0,0,0,0,0,33,14,9,60,6,10,80.0%
Edmonton,Bruno Zebie,90,0.0,0.0,0,0,0,0,0,37,21,8,57,5,2,0.0%
Edmonton,Bruno Zebie,90,0.04,0.0,0,0,0,0,0,35,16,15,56,8,7,100.0%
Edmonton,Bruno Zebie,90,0.15,0.04,0,0,0,0,0,34,12,15,54,10,5,50.0%
Edmonton,Bruno Zebie,90,0.03,0.0,0,0,0,0,0,29,15,8,53,3,7,100.0%
Edmonton,Bruno Zebie,88,0.0,0.04,0,0,0,0,0,34,11,17,52,8,3,100.0%
Edmonton,Bruno Zebie,90,0.05,0.0,1,0,0,0,0,41,23,15,51,3,4,75.0%
Edmonton,Bruno Zebie,73,0.0,0.0,0,0,0,0,0,38,21,11,49,5,5,50.0%
Edmonton,Bruno Zebie,90,0.62,0.0,0,0,0,0,0,24,5,16,47,8,3,50.0%
Edmonton,Bruno Zebie,90,0.32,0.0,0,0,0,0,0,26,7,15,46,5,6,33.3%
Edmonton,Bruno Zebie,90,0.0,0.0,0,0,0,0,0,28,10,9,44,8,6,66.7%
Edmonton,Bruno Zebie,90,0.0,0.0,0,0,0,0,0,23,12,7,44,6,5,100.0%
Edmonton,Bruno Zebie,90,0.08,0.11,0,0,0,0,0,22,7,13,42,3,2,100.0%
Edmonton,Bruno Zebie,90,0.0,0.02,0,0,0,0,0,32,8,16,40,8,2,0.0%
Edmonton,Bruno Zebie,82,0.11,0.0,0,0,0,0,0,26,7,14,34,5,5,66.7%
Edmonton,Bruno Zebie,69,0.0,0.29,0,0,0,0,0,21,10,9,33,2,6,100.0%
Edmonton,Bruno Zebie,65,0.04,0.0,0,0,0,0,0,25,10,11,32,2,1,0.0%
Edmonton,Bruno Zebie,49,0.07,0.0,0,0,0,0,0,13,3,7,21,1,0,-
Edmonton,Bruno Zebie,15,0.03,0.0,0,0,0,0,0,9,3,4,18,3,1,100.0%
Edmonton,Bruno Zebie,1,0.0,0.0,0,0,0,0,0,2,0,0,3,0,0,-
